X|Al|I|Cs|W|Fe|
2.0E1|2.8590E-3|3.9740E-1|4.3622E-1|8.1870E-1|4.125E-2|
2.2E1|1.9870E-3|3.2180E-1|3.5631E-1|7.2070E-1|2.984E-2|
2.5E1|1.2170E-3|2.3640E-1|2.6460E-1|5.9110E-1|1.913E-2|
2.8E1|7.8580E-4|1.7610E-1|1.9884E-1|4.8330E-1|1.28E-2|
3.1E1|5.3000E-4|1.3320E-2|1.5153E-1|3.9550E-1|8.872E-3|
3.5E1|3.3110E-4|9.4030E-2|1.0783E-1|3.0470E-1|5.706E-3|
4.0E1|1.9720E-4|6.3060E-2|7.2908E-2|2.2330E-1|3.495E-3|
4.5E1|1.2480E-4|4.3840E-2|5.0996E-2|1.66804E-1|2.262E-3|
5.0E1|8.2880E-5|3.1460E-2|3.6790E-2|1.2700E-1|1.531E-3|
7.0E1|2.2504E-5|1.0609E-2|1.2584E-2|5.0520E-2|4.3952-4|
1.0E2|5.7020E-6|3.2900E-3|3.9520E-3|1.8110E-2|-1.179E-4|
1.0E3|1.3940E-9|2.5510E-6|3.2355E-6|2.6170E-5|4.4700E-8|
1.0E6|9.5800E-19|6.6920E-15|9.3033E-15|2.1840E-13|4.5290E-17|
1.0E9|1.0190E-27|1.9610E-23|2.9722E-23|1.9470E-21|5.8190E-26|
